id,breed,horse_age,horse_gender,feed_keywords,temp_max,temp_min,precipitation,location,colic_keywords,feed_count,horse_keeping,age_group,risk_combination,is_colic
579,Lipizzaner,4,gelding,haylage,17.8,11.7,33.2,Cologne,spasmodic,1,stable,0-5,gelding_stable,True
580,Friese,23,gelding,pellets,13.4,7.3,1.5,Cologne,sand,1,stable,21+,gelding_stable,True
581,Württemberger,25,gelding,"haylage, straw",7.3,0.2,0.1,Berlin,impaction,2,pasture,21+,gelding_pasture,True
582,Paint Horse,15,gelding,fresh grass,16.9,4.0,1.9,Munich,gas,1,stable,11-15,gelding_stable,True
583,Englische Vollblüter,13,gelding,hay,5.3,-0.8,1.8,Munich,displacement,1,stable,11-15,gelding_stable,True
584,American Quarter Horse,11,mare,"corn, pellets",25.8,12.7,0.0,Dresden,gas,2,stable,11-15,mare_stable,True
585,Arabisches Vollblut,12,stallion,corn,20.5,9.9,0.0,Nuremberg,spasmodic,1,paddock,11-15,stallion_paddock,True
586,Appaloosa,3,stallion,straw,25.3,15.4,0.0,Berlin,impaction,1,stable,0-5,stallion_stable,True
587,Westfale,18,mare,straw,22.5,12.1,0.0,Hanover,spasmodic,1,stable,16-20,mare_stable,True
588,Hannoveraner,22,gelding,straw,6.2,-0.5,0.1,Cologne,impaction,1,stable,21+,gelding_stable,True
589,Deutsches Reitpony,17,gelding,silage,16.1,6.5,0.1,Stuttgart,impaction,1,pasture,16-20,gelding_pasture,True
590,Hannoveraner,25,stallion,haylage,21.4,12.4,0.1,Munich,spasmodic,1,stable,21+,stallion_stable,True
591,Englische Vollblüter,28,gelding,silage,7.4,2.5,3.3,Frankfurt,displacement,1,stable,21+,gelding_stable,True
592,Shetlandpony,21,gelding,"haylage, silage",23.9,12.2,0.0,Munich,displacement,2,stable,21+,gelding_stable,True
593,Paint Horse,29,stallion,straw,14.6,4.7,0.0,Dresden,impaction,1,paddock,21+,stallion_paddock,True
594,Welsh Pony,24,mare,corn,19.9,12.5,0.0,Frankfurt,spasmodic,1,stable,21+,mare_stable,True
595,Arabisches Vollblut,30,stallion,pellets,26.9,11.1,0.0,Nuremberg,spasmodic,1,pasture,21+,stallion_pasture,True
596,Andalusier,5,gelding,straw,9.6,-2.4,0.0,Hamburg,impaction,1,paddock,0-5,gelding_paddock,True
597,Welsh Pony,12,stallion,haylage,29.6,15.8,0.0,Cologne,sand,1,stable,11-15,stallion_stable,True
598,Arabisches Vollblut,26,gelding,haylage,5.4,2.0,8.1,Munich,gas,1,pasture,21+,gelding_pasture,True
599,American Quarter Horse,22,gelding,hay,19.2,8.6,0.1,Hanover,displacement,1,stable,21+,gelding_stable,True
600,Paint Horse,9,gelding,haylage,25.1,12.5,6.3,Munich,displacement,1,pasture,6-10,gelding_pasture,True
601,Oldenburger,3,stallion,pellets,20.3,15.7,15.9,Frankfurt,spasmodic,1,stable,0-5,stallion_stable,True
602,Friese,18,gelding,silage,22.7,13.4,0.0,Frankfurt,displacement,1,stable,16-20,gelding_stable,True
603,Württemberger,12,mare,"pellets, straw",22.5,11.9,0.0,Munich,displacement,2,pasture,11-15,mare_pasture,True
604,Württemberger,20,mare,pellets,15.7,13.2,13.8,Munich,spasmodic,1,pasture,16-20,mare_pasture,True
605,Württemberger,12,gelding,"haylage, pellets",12.0,7.5,0.0,Munich,displacement,2,stable,11-15,gelding_stable,True
606,Appaloosa,28,gelding,straw,9.9,8.0,2.1,Cologne,impaction,1,stable,21+,gelding_stable,True
607,Islandpferd,10,stallion,straw,22.9,17.3,0.4,Leipzig,gas,1,paddock,6-10,stallion_paddock,True
608,American Quarter Horse,14,stallion,silage,4.2,-2.8,0.0,Frankfurt,impaction,1,pasture,11-15,stallion_pasture,True
609,Lipizzaner,1,gelding,"hay, silage",3.4,-4.1,0.0,Frankfurt,displacement,2,stable,0-5,gelding_stable,True
610,Holsteiner,3,mare,hay,9.7,2.3,0.5,Dresden,gas,1,stable,0-5,mare_stable,True
611,Shetlandpony,20,gelding,silage,5.1,-2.2,0.0,Cologne,displacement,1,stable,16-20,gelding_stable,True
612,Appaloosa,20,stallion,haylage,25.2,13.2,0.0,Frankfurt,gas,1,stable,16-20,stallion_stable,True
613,Westfale,7,gelding,fresh grass,7.9,-0.7,0.0,Dresden,gas,1,stable,6-10,gelding_stable,True
614,Shetlandpony,7,mare,"haylage, silage",20.4,6.0,0.0,Dresden,spasmodic,2,pasture,6-10,mare_pasture,True
615,Oldenburger,6,stallion,silage,15.7,1.0,0.0,Hanover,impaction,1,pasture,6-10,stallion_pasture,True
616,Islandpferd,8,mare,haylage,14.0,4.5,0.0,Dresden,impaction,1,stable,6-10,mare_stable,True
617,Württemberger,13,mare,silage,4.5,-0.5,0.0,Dresden,displacement,1,stable,11-15,mare_stable,True
618,Shetlandpony,24,mare,"haylage, pellets",15.1,1.4,0.0,Hanover,gas,2,stable,21+,mare_stable,True
619,Oldenburger,1,gelding,"haylage, silage",18.4,12.3,0.0,Frankfurt,displacement,2,stable,0-5,gelding_stable,True
620,Islandpferd,22,mare,fresh grass,27.0,19.0,0.5,Hanover,sand,1,stable,21+,mare_stable,True
621,Hannoveraner,3,gelding,straw,3.5,-2.4,1.0,Nuremberg,spasmodic,1,stable,0-5,gelding_stable,True
622,Andalusier,13,mare,"haylage, straw",13.0,6.5,1.7,Frankfurt,spasmodic,2,pasture,11-15,mare_pasture,True
623,Islandpferd,29,mare,straw,18.8,15.7,1.9,Nuremberg,impaction,1,stable,21+,mare_stable,True
624,Haflinger,20,stallion,straw,27.6,17.6,0.0,Cologne,impaction,1,pasture,16-20,stallion_pasture,True
625,Welsh Pony,28,mare,corn,18.1,6.5,0.0,Stuttgart,spasmodic,1,stable,21+,mare_stable,True
626,Appaloosa,1,stallion,hay,4.7,0.6,2.2,Frankfurt,spasmodic,1,stable,0-5,stallion_stable,True
627,American Quarter Horse,20,gelding,hay,27.8,11.2,0.0,Hanover,gas,1,stable,16-20,gelding_stable,True
628,Württemberger,9,mare,pellets,16.8,10.4,2.0,Berlin,impaction,1,pasture,6-10,mare_pasture,True
629,Lipizzaner,21,mare,pellets,13.8,8.5,0.0,Munich,spasmodic,1,stable,21+,mare_stable,True
630,Hannoveraner,29,gelding,silage,21.0,16.2,0.3,Leipzig,displacement,1,stable,21+,gelding_stable,True
631,Hannoveraner,21,mare,straw,13.7,9.0,6.5,Munich,impaction,1,paddock,21+,mare_paddock,True
632,Lipizzaner,6,stallion,silage,22.4,15.9,0.6,Frankfurt,sand,1,paddock,6-10,stallion_paddock,True
633,American Quarter Horse,20,mare,silage,18.4,15.4,2.6,Frankfurt,displacement,1,pasture,16-20,mare_pasture,True
634,Islandpferd,25,gelding,"fresh grass, hay",5.1,-3.0,1.6,Nuremberg,impaction,2,stable,21+,gelding_stable,True
635,Deutsches Reitpony,11,mare,silage,5.2,-1.8,1.7,Stuttgart,displacement,1,stable,11-15,mare_stable,True
636,Hannoveraner,5,mare,fresh grass,24.7,17.6,7.2,Cologne,spasmodic,1,paddock,0-5,mare_paddock,True
637,Trakehner,26,stallion,haylage,2.6,0.8,0.1,Hamburg,impaction,1,stable,21+,stallion_stable,True
638,Westfale,6,stallion,"fresh grass, hay",3.4,-0.2,1.3,Cologne,spasmodic,2,stable,6-10,stallion_stable,True
639,Westfale,19,mare,pellets,15.6,7.2,0.0,Hamburg,gas,1,stable,16-20,mare_stable,True
640,Trakehner,8,mare,"haylage, silage",14.5,2.1,1.0,Nuremberg,sand,2,pasture,6-10,mare_pasture,True
641,Welsh Pony,28,mare,straw,6.6,-0.4,4.9,Leipzig,impaction,1,paddock,21+,mare_paddock,True
642,Englische Vollblüter,3,stallion,pellets,8.9,1.1,0.7,Leipzig,spasmodic,1,stable,0-5,stallion_stable,True
643,Englische Vollblüter,9,stallion,"corn, straw",5.4,0.4,2.3,Dresden,impaction,2,stable,6-10,stallion_stable,True
644,Westfale,9,gelding,"haylage, pellets",4.6,-3.8,0.1,Frankfurt,spasmodic,2,pasture,6-10,gelding_pasture,True
645,Englische Vollblüter,1,mare,straw,27.2,19.7,4.3,Hanover,sand,1,pasture,0-5,mare_pasture,True
646,Shetlandpony,23,gelding,"pellets, silage",5.7,0.8,0.0,Berlin,impaction,2,paddock,21+,gelding_paddock,True
647,Lipizzaner,7,gelding,silage,13.5,2.5,0.0,Nuremberg,displacement,1,pasture,6-10,gelding_pasture,True
648,Friese,27,gelding,"hay, silage",12.3,6.4,16.5,Stuttgart,displacement,2,stable,21+,gelding_stable,True
649,Friese,5,mare,"hay, straw",18.8,7.2,0.0,Frankfurt,displacement,2,stable,0-5,mare_stable,True
650,Arabisches Vollblut,27,gelding,"corn, straw",16.9,0.9,0.0,Stuttgart,impaction,2,pasture,21+,gelding_pasture,True
651,Westfale,26,mare,straw,5.9,4.9,0.2,Hamburg,impaction,1,stable,21+,mare_stable,True
652,Deutsches Reitpony,4,stallion,hay,16.0,10.0,0.1,Hamburg,displacement,1,pasture,0-5,stallion_pasture,True
653,Shetlandpony,27,gelding,straw,12.2,-4.1,0.0,Frankfurt,impaction,1,stable,21+,gelding_stable,True
654,Arabisches Vollblut,14,mare,"pellets, straw",22.8,16.2,1.6,Dresden,impaction,2,stable,11-15,mare_stable,True
655,Haflinger,21,stallion,silage,3.8,0.1,1.9,Hamburg,impaction,1,pasture,21+,stallion_pasture,True
656,Haflinger,28,mare,haylage,9.1,-1.9,0.0,Hanover,sand,1,pasture,21+,mare_pasture,True
657,Friese,6,stallion,straw,7.0,-5.2,0.0,Hanover,displacement,1,stable,6-10,stallion_stable,True
658,Trakehner,21,mare,"fresh grass, haylage",21.6,7.8,0.3,Cologne,spasmodic,2,pasture,21+,mare_pasture,True
659,Westfale,2,stallion,corn,27.3,15.1,0.6,Leipzig,displacement,1,pasture,0-5,stallion_pasture,True
660,Württemberger,10,mare,silage,22.7,11.0,1.0,Leipzig,displacement,1,stable,6-10,mare_stable,True
661,Islandpferd,4,mare,fresh grass,28.6,20.7,2.4,Cologne,gas,1,stable,0-5,mare_stable,True
662,Holsteiner,1,mare,"corn, haylage",8.9,-2.5,0.0,Stuttgart,displacement,2,stable,0-5,mare_stable,True
663,American Quarter Horse,18,gelding,straw,8.3,5.0,1.3,Berlin,sand,1,stable,16-20,gelding_stable,True
664,Lipizzaner,9,gelding,haylage,4.2,-0.4,0.6,Frankfurt,gas,1,stable,6-10,gelding_stable,True
665,Oldenburger,10,gelding,silage,9.6,6.6,10.4,Stuttgart,displacement,1,stable,6-10,gelding_stable,True
666,Lipizzaner,2,stallion,straw,11.0,4.4,0.5,Dresden,spasmodic,1,pasture,0-5,stallion_pasture,True
667,Württemberger,28,stallion,"hay, pellets",15.9,9.6,2.8,Nuremberg,impaction,2,stable,21+,stallion_stable,True
668,Oldenburger,9,gelding,haylage,32.8,22.4,0.6,Cologne,sand,1,stable,6-10,gelding_stable,True
669,Hannoveraner,3,stallion,haylage,19.1,15.2,16.2,Hamburg,sand,1,paddock,0-5,stallion_paddock,True
670,Haflinger,23,mare,straw,11.4,8.2,5.1,Hamburg,impaction,1,stable,21+,mare_stable,True
671,Haflinger,21,gelding,"pellets, silage",9.9,5.2,10.2,Stuttgart,gas,2,pasture,21+,gelding_pasture,True
672,Holsteiner,2,mare,straw,10.3,-3.3,0.0,Berlin,spasmodic,1,stable,0-5,mare_stable,True
673,Paint Horse,17,gelding,haylage,11.0,5.3,0.4,Frankfurt,spasmodic,1,stable,16-20,gelding_stable,True
674,Shetlandpony,23,mare,silage,24.5,15.9,1.2,Berlin,displacement,1,stable,21+,mare_stable,True
675,American Quarter Horse,14,stallion,"haylage, silage",30.1,14.8,0.0,Berlin,displacement,2,pasture,11-15,stallion_pasture,True
676,Lipizzaner,16,mare,silage,11.6,2.3,0.0,Berlin,displacement,1,stable,16-20,mare_stable,True
677,Haflinger,9,mare,haylage,12.5,8.0,0.0,Nuremberg,sand,1,stable,6-10,mare_stable,True
678,Trakehner,25,gelding,pellets,2.5,-2.1,2.8,Hamburg,spasmodic,1,paddock,21+,gelding_paddock,True
679,Deutsches Reitpony,1,gelding,silage,15.6,1.7,0.0,Leipzig,displacement,1,pasture,0-5,gelding_pasture,True
680,Haflinger,6,gelding,"hay, haylage",13.4,2.3,0.0,Berlin,displacement,2,paddock,6-10,gelding_paddock,True
681,Friese,7,gelding,haylage,33.7,22.2,0.0,Hanover,torsion,1,stable,6-10,gelding_stable,True
682,Lipizzaner,27,stallion,hay,20.7,14.3,20.6,Hanover,spasmodic,1,pasture,21+,stallion_pasture,True
683,American Quarter Horse,6,mare,"pellets, straw",21.5,9.7,0.0,Berlin,torsion,2,paddock,6-10,mare_paddock,True
684,Appaloosa,8,mare,haylage,16.4,9.5,0.0,Cologne,spasmodic,1,stable,6-10,mare_stable,True
685,Trakehner,4,stallion,silage,24.7,15.6,8.9,Dresden,displacement,1,stable,0-5,stallion_stable,True
686,Haflinger,23,gelding,haylage,20.7,15.6,0.3,Berlin,impaction,1,pasture,21+,gelding_pasture,True
687,Appaloosa,4,gelding,straw,23.4,11.6,0.0,Munich,spasmodic,1,stable,0-5,gelding_stable,True
688,Deutsches Reitpony,30,stallion,straw,-0.7,-16.1,0.0,Nuremberg,impaction,1,paddock,21+,stallion_paddock,True
689,Hannoveraner,25,stallion,"haylage, silage",27.1,15.8,0.0,Nuremberg,displacement,2,stable,21+,stallion_stable,True
690,Islandpferd,26,gelding,silage,19.1,11.2,0.0,Hamburg,displacement,1,stable,21+,gelding_stable,True
691,American Quarter Horse,18,stallion,"haylage, pellets",18.6,7.9,0.0,Hanover,gas,2,pasture,16-20,stallion_pasture,True
692,Württemberger,9,mare,haylage,27.8,20.0,0.6,Nuremberg,displacement,1,paddock,6-10,mare_paddock,True
693,Haflinger,21,stallion,"hay, haylage",7.9,2.7,0.0,Hanover,spasmodic,2,stable,21+,stallion_stable,True
694,Friese,3,stallion,fresh grass,11.2,4.8,3.0,Dresden,spasmodic,1,stable,0-5,stallion_stable,True
695,Shetlandpony,7,stallion,hay,27.4,11.3,0.2,Dresden,spasmodic,1,stable,6-10,stallion_stable,True
696,Württemberger,8,stallion,fresh grass,16.0,9.1,3.3,Cologne,spasmodic,1,stable,6-10,stallion_stable,True
697,Oldenburger,21,stallion,straw,21.1,17.9,11.0,Dresden,impaction,1,paddock,21+,stallion_paddock,True
698,Shetlandpony,23,stallion,"pellets, straw",-0.7,-4.6,25.4,Munich,impaction,2,stable,21+,stallion_stable,True
699,Islandpferd,28,gelding,fresh grass,14.4,5.3,0.0,Nuremberg,displacement,1,paddock,21+,gelding_paddock,True
700,Andalusier,1,mare,haylage,16.4,5.3,0.6,Frankfurt,sand,1,stable,0-5,mare_stable,True
701,Islandpferd,30,stallion,pellets,14.4,3.6,0.2,Leipzig,gas,1,stable,21+,stallion_stable,True
702,Paint Horse,17,gelding,hay,17.1,10.0,4.5,Hamburg,gas,1,stable,16-20,gelding_stable,True
703,Holsteiner,12,mare,hay,19.0,8.6,0.5,Berlin,impaction,1,stable,11-15,mare_stable,True
704,Andalusier,7,stallion,haylage,13.2,-1.4,0.0,Munich,impaction,1,paddock,6-10,stallion_paddock,True
705,Trakehner,14,stallion,straw,7.8,4.8,3.5,Leipzig,impaction,1,stable,11-15,stallion_stable,True
706,Haflinger,8,stallion,pellets,20.0,12.6,8.7,Hamburg,impaction,1,stable,6-10,stallion_stable,True
707,Hannoveraner,18,stallion,straw,19.0,11.6,0.2,Nuremberg,spasmodic,1,pasture,16-20,stallion_pasture,True
708,Hannoveraner,6,gelding,pellets,14.6,7.3,0.5,Berlin,gas,1,pasture,6-10,gelding_pasture,True
709,Andalusier,27,mare,straw,20.8,7.5,0.1,Frankfurt,impaction,1,stable,21+,mare_stable,True
710,Holsteiner,11,stallion,"pellets, silage",2.2,0.1,8.9,Munich,displacement,2,stable,11-15,stallion_stable,True
711,Holsteiner,29,gelding,corn,24.8,10.5,1.8,Frankfurt,spasmodic,1,stable,21+,gelding_stable,True
712,Friese,10,stallion,"fresh grass, straw",34.8,21.3,0.0,Leipzig,spasmodic,2,stable,6-10,stallion_stable,True
713,Deutsches Reitpony,8,mare,fresh grass,9.9,4.0,1.1,Leipzig,impaction,1,stable,6-10,mare_stable,True
714,American Quarter Horse,19,gelding,corn,4.4,1.7,1.2,Stuttgart,impaction,1,stable,16-20,gelding_stable,True
715,Holsteiner,8,stallion,haylage,29.8,16.9,0.0,Munich,sand,1,pasture,6-10,stallion_pasture,True
716,Paint Horse,24,mare,"haylage, pellets",23.2,15.2,0.8,Frankfurt,gas,2,paddock,21+,mare_paddock,True
717,Deutsches Reitpony,20,gelding,silage,10.7,1.0,12.0,Berlin,spasmodic,1,pasture,16-20,gelding_pasture,True
718,Württemberger,24,mare,pellets,2.1,-1.8,0.1,Berlin,spasmodic,1,pasture,21+,mare_pasture,True
719,Trakehner,5,mare,haylage,10.1,3.9,0.6,Leipzig,gas,1,stable,0-5,mare_stable,True
720,Deutsches Reitpony,27,gelding,haylage,19.0,13.4,8.9,Hamburg,impaction,1,stable,21+,gelding_stable,True
721,Westfale,27,stallion,hay,18.9,7.7,0.0,Cologne,displacement,1,stable,21+,stallion_stable,True
722,Friese,11,gelding,straw,12.6,6.4,0.9,Frankfurt,gas,1,stable,11-15,gelding_stable,True
723,Westfale,4,mare,"hay, haylage",22.6,9.6,0.0,Nuremberg,displacement,2,stable,0-5,mare_stable,True
724,Westfale,22,mare,fresh grass,23.1,13.3,0.1,Hamburg,gas,1,pasture,21+,mare_pasture,True
725,Arabisches Vollblut,26,gelding,"hay, silage",14.5,3.3,10.7,Leipzig,displacement,2,stable,21+,gelding_stable,True
726,Lipizzaner,21,stallion,straw,8.8,-0.8,0.0,Cologne,impaction,1,stable,21+,stallion_stable,True
727,Oldenburger,7,mare,haylage,16.2,11.2,0.7,Stuttgart,impaction,1,stable,6-10,mare_stable,True
728,Appaloosa,13,stallion,straw,23.7,13.3,0.0,Nuremberg,spasmodic,1,stable,11-15,stallion_stable,True
729,Lipizzaner,11,gelding,"hay, straw",11.5,6.6,2.0,Frankfurt,impaction,2,pasture,11-15,gelding_pasture,True
730,Hannoveraner,2,stallion,fresh grass,20.7,14.8,0.5,Dresden,spasmodic,1,stable,0-5,stallion_stable,True
731,Holsteiner,24,mare,"silage, straw",19.6,6.6,2.3,Dresden,impaction,2,pasture,21+,mare_pasture,True
732,American Quarter Horse,23,mare,straw,13.8,1.9,2.2,Munich,impaction,1,paddock,21+,mare_paddock,True
733,Paint Horse,21,stallion,"fresh grass, haylage",26.0,12.0,0.4,Frankfurt,impaction,2,stable,21+,stallion_stable,True
734,Appaloosa,5,mare,pellets,15.1,-1.3,0.0,Munich,spasmodic,1,stable,0-5,mare_stable,True
735,Appaloosa,24,stallion,straw,9.1,-2.1,0.0,Berlin,impaction,1,paddock,21+,stallion_paddock,True
736,Haflinger,22,gelding,corn,4.1,-4.4,0.1,Nuremberg,sand,1,stable,21+,gelding_stable,True
737,Haflinger,21,gelding,straw,28.6,20.2,0.0,Cologne,impaction,1,paddock,21+,gelding_paddock,True
738,Oldenburger,27,mare,hay,13.1,5.5,0.0,Munich,impaction,1,paddock,21+,mare_paddock,True
739,Lipizzaner,26,stallion,straw,8.3,5.9,2.4,Berlin,impaction,1,stable,21+,stallion_stable,True
740,American Quarter Horse,10,mare,hay,7.9,0.2,0.2,Munich,spasmodic,1,pasture,6-10,mare_pasture,True
741,Welsh Pony,28,mare,hay,3.2,-3.0,0.0,Frankfurt,impaction,1,stable,21+,mare_stable,True
742,Appaloosa,21,gelding,hay,15.3,9.7,8.4,Leipzig,impaction,1,stable,21+,gelding_stable,True
743,Hannoveraner,4,gelding,silage,5.0,-3.8,0.0,Munich,displacement,1,stable,0-5,gelding_stable,True
744,Shetlandpony,4,stallion,haylage,-2.4,-7.8,0.0,Leipzig,sand,1,paddock,0-5,stallion_paddock,True
745,Lipizzaner,23,stallion,straw,5.4,1.3,4.5,Dresden,impaction,1,stable,21+,stallion_stable,True
746,Friese,23,stallion,straw,2.3,-4.2,0.0,Munich,impaction,1,pasture,21+,stallion_pasture,True
747,Oldenburger,26,gelding,corn,22.6,8.4,0.1,Berlin,torsion,1,stable,21+,gelding_stable,True
748,Paint Horse,30,mare,straw,25.4,16.7,8.7,Dresden,impaction,1,pasture,21+,mare_pasture,True
749,Haflinger,23,gelding,straw,16.4,6.0,0.0,Leipzig,impaction,1,stable,21+,gelding_stable,True
750,Appaloosa,7,mare,silage,13.1,5.0,11.4,Nuremberg,sand,1,pasture,6-10,mare_pasture,True
751,Appaloosa,9,stallion,silage,16.0,1.6,0.0,Nuremberg,displacement,1,pasture,6-10,stallion_pasture,True
752,Hannoveraner,1,stallion,"haylage, straw",21.7,12.7,0.0,Berlin,impaction,2,pasture,0-5,stallion_pasture,True
753,Deutsches Reitpony,19,gelding,hay,9.0,-2.1,0.0,Cologne,gas,1,stable,16-20,gelding_stable,True
754,Friese,27,stallion,"hay, haylage",6.7,-3.4,0.0,Munich,spasmodic,2,stable,21+,stallion_stable,True
755,American Quarter Horse,28,stallion,"pellets, silage",21.8,14.1,0.0,Frankfurt,displacement,2,stable,21+,stallion_stable,True
756,Holsteiner,27,mare,"haylage, pellets",12.6,1.3,0.0,Frankfurt,impaction,2,stable,21+,mare_stable,True
757,Welsh Pony,22,stallion,haylage,8.0,2.0,4.1,Hamburg,impaction,1,paddock,21+,stallion_paddock,True
758,Oldenburger,10,mare,straw,12.8,5.9,0.0,Leipzig,impaction,1,stable,6-10,mare_stable,True
759,Englische Vollblüter,23,stallion,hay,7.1,2.7,0.0,Hamburg,impaction,1,pasture,21+,stallion_pasture,True
760,Shetlandpony,14,mare,straw,10.1,0.0,0.0,Nuremberg,gas,1,pasture,11-15,mare_pasture,True
761,Arabisches Vollblut,29,mare,haylage,14.1,7.6,3.1,Munich,gas,1,stable,21+,mare_stable,True
762,Welsh Pony,18,mare,haylage,0.9,-1.0,0.0,Berlin,spasmodic,1,stable,16-20,mare_stable,True
763,Englische Vollblüter,30,gelding,haylage,5.6,-2.7,0.0,Dresden,sand,1,stable,21+,gelding_stable,True
764,Oldenburger,4,mare,corn,11.2,2.3,1.5,Stuttgart,impaction,1,pasture,0-5,mare_pasture,True
765,Andalusier,30,gelding,"hay, silage",18.5,12.5,1.2,Stuttgart,gas,2,pasture,21+,gelding_pasture,True
766,Islandpferd,1,mare,"corn, fresh grass",10.3,7.1,5.5,Stuttgart,gas,2,paddock,0-5,mare_paddock,True
767,Welsh Pony,22,mare,haylage,25.3,12.0,0.0,Munich,displacement,1,pasture,21+,mare_pasture,True
768,Lipizzaner,27,mare,"fresh grass, straw",18.4,10.7,0.0,Hamburg,impaction,2,pasture,21+,mare_pasture,True
769,Hannoveraner,17,mare,fresh grass,6.2,-5.2,0.0,Munich,impaction,1,pasture,16-20,mare_pasture,True
770,Appaloosa,1,gelding,corn,4.4,-0.6,3.9,Dresden,spasmodic,1,stable,0-5,gelding_stable,True
771,Arabisches Vollblut,30,gelding,silage,11.6,7.2,2.1,Berlin,displacement,1,stable,21+,gelding_stable,True
772,Lipizzaner,11,gelding,"silage, straw",23.5,11.9,0.0,Stuttgart,displacement,2,stable,11-15,gelding_stable,True
773,Haflinger,29,stallion,silage,18.6,5.0,0.0,Hanover,sand,1,paddock,21+,stallion_paddock,True
774,Lipizzaner,28,mare,straw,18.1,12.5,0.6,Leipzig,impaction,1,stable,21+,mare_stable,True
775,Friese,12,stallion,straw,1.8,-3.1,0.3,Hamburg,spasmodic,1,pasture,11-15,stallion_pasture,True
776,Andalusier,28,gelding,pellets,11.7,6.0,9.5,Berlin,torsion,1,paddock,21+,gelding_paddock,True
777,Trakehner,21,gelding,silage,25.2,7.9,0.0,Stuttgart,displacement,1,stable,21+,gelding_stable,True
778,Englische Vollblüter,29,gelding,"haylage, straw",7.7,0.4,3.9,Nuremberg,impaction,2,paddock,21+,gelding_paddock,True
779,Oldenburger,23,stallion,silage,12.0,6.7,2.0,Munich,displacement,1,stable,21+,stallion_stable,True
780,Welsh Pony,4,gelding,hay,24.2,11.9,0.0,Stuttgart,displacement,1,pasture,0-5,gelding_pasture,True
781,Friese,20,gelding,fresh grass,27.0,18.4,8.3,Nuremberg,spasmodic,1,pasture,16-20,gelding_pasture,True
782,Westfale,19,mare,corn,12.5,5.2,0.0,Stuttgart,spasmodic,1,stable,16-20,mare_stable,True
783,Hannoveraner,28,stallion,hay,31.3,16.6,0.0,Munich,impaction,1,paddock,21+,stallion_paddock,True
784,Oldenburger,15,stallion,silage,8.9,0.5,0.0,Frankfurt,displacement,1,stable,11-15,stallion_stable,True
785,Appaloosa,13,mare,silage,11.4,0.7,0.0,Hanover,displacement,1,stable,11-15,mare_stable,True
786,Haflinger,6,gelding,haylage,11.8,3.4,1.8,Leipzig,impaction,1,pasture,6-10,gelding_pasture,True
787,Hannoveraner,12,gelding,haylage,15.7,3.1,0.3,Hanover,impaction,1,pasture,11-15,gelding_pasture,True
788,Welsh Pony,25,stallion,silage,28.1,20.7,0.6,Cologne,displacement,1,stable,21+,stallion_stable,True
789,Welsh Pony,9,gelding,straw,14.8,9.1,2.6,Nuremberg,gas,1,stable,6-10,gelding_stable,True
790,Oldenburger,6,gelding,hay,8.6,-3.2,0.0,Munich,impaction,1,stable,6-10,gelding_stable,True
791,Welsh Pony,9,mare,haylage,24.6,15.5,0.0,Berlin,sand,1,paddock,6-10,mare_paddock,True
792,Deutsches Reitpony,8,gelding,"fresh grass, pellets",30.8,18.2,0.0,Hanover,gas,2,paddock,6-10,gelding_paddock,True
793,Trakehner,20,stallion,hay,26.1,17.5,0.0,Cologne,spasmodic,1,pasture,16-20,stallion_pasture,True
794,Hannoveraner,20,mare,hay,24.8,14.6,0.0,Cologne,spasmodic,1,pasture,16-20,mare_pasture,True
795,Württemberger,12,mare,haylage,10.5,0.6,0.0,Stuttgart,gas,1,pasture,11-15,mare_pasture,True
796,Oldenburger,24,stallion,straw,6.4,-3.0,0.0,Munich,impaction,1,pasture,21+,stallion_pasture,True
797,Shetlandpony,17,gelding,silage,28.2,19.2,0.0,Cologne,displacement,1,stable,16-20,gelding_stable,True
798,Württemberger,25,stallion,haylage,25.2,17.3,3.3,Berlin,displacement,1,stable,21+,stallion_stable,True
799,Oldenburger,5,gelding,fresh grass,15.4,2.4,0.0,Hanover,torsion,1,stable,0-5,gelding_stable,True
800,Andalusier,4,gelding,hay,21.6,16.8,0.5,Hamburg,spasmodic,1,paddock,0-5,gelding_paddock,True
801,Hannoveraner,25,mare,silage,13.4,3.0,0.0,Berlin,displacement,1,stable,21+,mare_stable,True
802,Englische Vollblüter,30,gelding,haylage,2.0,-0.4,8.1,Frankfurt,displacement,1,pasture,21+,gelding_pasture,True
803,Lipizzaner,6,stallion,silage,12.6,9.0,2.8,Berlin,displacement,1,stable,6-10,stallion_stable,True
804,Lipizzaner,25,gelding,hay,11.5,1.1,0.0,Cologne,spasmodic,1,stable,21+,gelding_stable,True
805,Hannoveraner,1,mare,"hay, pellets",2.3,-4.7,0.0,Nuremberg,gas,2,pasture,0-5,mare_pasture,True
806,Württemberger,10,mare,"corn, straw",27.4,12.5,0.0,Dresden,spasmodic,2,paddock,6-10,mare_paddock,True
807,Lipizzaner,4,stallion,"fresh grass, haylage",-7.7,-17.9,0.0,Dresden,torsion,2,stable,0-5,stallion_stable,True
808,Friese,1,stallion,hay,29.3,20.2,4.7,Nuremberg,spasmodic,1,stable,0-5,stallion_stable,True
809,Andalusier,17,mare,straw,19.6,7.5,0.0,Nuremberg,sand,1,paddock,16-20,mare_paddock,True
810,Appaloosa,6,stallion,"fresh grass, pellets",7.9,2.0,1.7,Hamburg,gas,2,paddock,6-10,stallion_paddock,True
